wavelength_nm,reflectance
825.55,0.34856
825.87,0.34923
826.19,0.3472
826.51,0.34983
826.84,0.34925
827.16,0.34867
827.48,0.34957
827.8,0.35085
828.12,0.35215
828.44,0.34746
828.76,0.35399
829.09,0.35281
829.41,0.35548
829.73,0.34931
830.05,0.34683
830.37,0.35106
830.69,0.35081
831.01,0.35276
831.33,0.34933
831.65,0.34845
831.97,0.35896
832.3,0.35499
832.62,0.35877
832.94,0.35394
833.26,0.35309
833.58,0.35935
833.9,0.35988
834.22,0.35644
834.54,0.36228
834.86,0.35153
835.18,0.35493
835.5,0.35196
835.82,0.35262
836.14,0.36158
836.46,0.35878
836.78,0.35386
837.1,0.35519
837.42,0.35727
837.74,0.3554
838.06,0.35574
838.38,0.35379
838.7,0.36132
839.02,0.35785
839.34,0.36341
839.66,0.36172
839.98,0.36117
840.3,0.35178
840.62,0.36114
840.94,0.35563
841.26,0.35432
841.58,0.36171
841.89,0.36261
842.21,0.35965
842.53,0.35839
842.85,0.36356
843.17,0.35291
843.49,0.35698
843.81,0.35983
844.13,0.36011
844.45,0.35927
844.77,0.36158
845.08,0.36208
845.4,0.36608
845.72,0.36019
846.04,0.36015
846.36,0.35684
846.68,0.3608
847,0.36086
847.31,0.35756
847.63,0.35897
847.95,0.35936
848.27,0.35602
848.59,0.36185
848.9,0.36204
849.22,0.36419
849.54,0.36411
849.86,0.37008
850.18,0.36808
850.49,0.3705
850.81,0.36522
851.13,0.37003
851.45,0.3653
851.77,0.36461
852.08,0.36678
852.4,0.36504
852.72,0.37017
853.04,0.37029
853.35,0.36417
853.67,0.3632
853.99,0.36553
854.3,0.36321
854.62,0.37402
854.94,0.36425
855.26,0.3716
855.57,0.37389
855.89,0.37077
856.21,0.36984
856.52,0.3703
856.84,0.36679
857.16,0.36857
857.47,0.36944
857.79,0.36303
858.11,0.37007
858.42,0.36678
858.74,0.37255
859.06,0.36722
859.37,0.36198
859.69,0.3722
860.01,0.37312
860.32,0.3754
860.64,0.36872
860.95,0.37074
861.27,0.3748
861.59,0.37771
861.9,0.37998
862.22,0.37558
862.53,0.38114
862.85,0.3794
863.17,0.37262
863.48,0.36917
863.8,0.37386
864.11,0.36858
864.43,0.37252
864.74,0.36852
865.06,0.37675
865.38,0.38072
865.69,0.38586
866.01,0.36929
866.32,0.3741
866.64,0.37521
866.95,0.37427
867.27,0.37727
867.58,0.3798
867.9,0.3818
868.21,0.38304
868.53,0.37296
868.84,0.38293
869.16,0.36843
869.47,0.38818
869.79,0.37757
870.1,0.38978
870.41,0.37363
870.73,0.38167
871.04,0.37904
871.36,0.38086
871.67,0.37665
871.99,0.36771
872.3,0.37482
872.62,0.37753
872.93,0.37817
873.24,0.38184
873.56,0.38901
873.87,0.37917
874.19,0.39024
874.5,0.37254
874.81,0.3847
875.13,0.38672
875.44,0.38423
875.75,0.38501
876.07,0.39092
876.38,0.38423
876.7,0.38226
877.01,0.39156
877.32,0.38504
877.64,0.38153
877.95,0.38182
878.26,0.3814
878.58,0.38246
878.89,0.38195
879.2,0.38396
879.51,0.39142
879.83,0.37858
880.14,0.39489
880.45,0.39253
880.77,0.38507
881.08,0.38149
881.39,0.37453
881.7,0.39623
