wavelength_nm,frequency_thz,theta_air_raw_deg,theta_prism_deg,observed_r0_reflectance_fraction,package_static_prediction_fraction,residual_prediction_minus_observed,absolute_residual,power_norm_std,prepump_rows,delay_min_ps,delay_max_ps,in_figure2_plotted_window
1210,247.762361983,36,39.0137585711,0.032962754616,0.0629518589916,0.0299891043756,0.0299891043756,0.000983431970993,11,-0.6,-0.4,false
1210,247.762361983,37,39.6763222586,0.0320586777098,0.0623673480691,0.0303086703594,0.0303086703594,0.00148503071136,11,-0.6,-0.4,false
1210,247.762361983,38,40.3397973986,0.0294697644716,0.0613766886957,0.0319069242242,0.0319069242242,0.000657861485793,11,-0.6,-0.4,false
1210,247.762361983,39,41.0040682498,0.0283269531619,0.059856635161,0.031529681999,0.031529681999,0.00108557786296,11,-0.6,-0.4,false
1210,247.762361983,40,41.6690197955,0.0252811150752,0.0576262276468,0.0323451125716,0.0323451125716,0.00113735703731,11,-0.6,-0.4,false
1210,247.762361983,41,42.3345376402,0.0221777522638,0.0543985746714,0.0322208224076,0.0322208224076,0.000839431513096,11,-0.6,-0.4,false
1210,247.762361983,42,43.0005079045,0.0197410308812,0.049659660521,0.0299186296398,0.0299186296398,0.00106055689395,11,-0.6,-0.4,true
1210,247.762361983,43,43.6668171225,0.0191656587446,0.0422469557388,0.0230812969943,0.0230812969943,0.000992087944739,11,-0.6,-0.4,true
1210,247.762361983,44,44.3333521377,0.0144349682513,0.0259109405424,0.0114759722912,0.0114759722912,0.00139955641644,11,-0.6,-0.4,true
1210,247.762361983,45,45,0.0146424766272,0.0105386588672,-0.00410381776008,0.00410381776008,0.00109975878851,11,-0.6,-0.4,true
1210,247.762361983,46,45.6666478623,0.0209494697834,0.0182660455455,-0.00268342423798,0.00268342423798,0.00124865439313,11,-0.6,-0.4,true
1210,247.762361983,47,46.3331828775,0.030221423781,0.0297034752875,-0.000517948493492,0.000517948493492,0.00116203771398,11,-0.6,-0.4,true
