wvl ( nm)	e1	e2
1463,496387	2,903417	27,101471
1463,83674	2,907849	27,107183
1464,663228	2,918664	27,121109
1465,49065	2,929491	27,135027
1466,320741	2,940338	27,148952
1466,945229	2,948518	27,159437
1467,150037	2,951197	27,162868
1467,980272	2,962073	27,176788
1468,813187	2,972967	27,190708
1469,645306	2,983874	27,204626
1470,394671	2,993685	27,217125
1470,478368	2,994796	27,21854
1471,314121	3,005737	27,232458
1472,149076	3,016692	27,24637
1472,98498	3,027661	27,260283
1473,823586	3,038651	27,274199
1473,842855	3,038916	27,274534
1474,661393	3,049652	27,288109
1475,500153	3,06067	27,302019
1476,339868	3,071705	27,315929
1477,182299	3,082755	27,329838
1477,29317	3,084207	27,331665
1478,02393	3,093819	27,343744
1478,86652	3,104902	27,357653
1479,711838	3,115998	27,371555
1480,556355	3,127109	27,385458
1480,741995	3,129556	27,388515
1481,401836	3,13824	27,399363
1482,250056	3,149384	27,413263
1483,097473	3,160542	27,427162
1483,94586	3,17172	27,441063
1484,192749	3,17496	27,445089
1484,796996	3,18291	27,45496
1485,647329	3,194119	27,468859
1486,498636	3,205341	27,482752
1487,35092	3,216578	27,496643
1487,643561	3,220417	27,501385
1488,205968	3,227834	27,510538
1489,060211	3,239103	27,524427
1489,915435	3,250388	27,538317
