wavelength_nm,frequency_thz,theta_air_raw_deg,theta_prism_deg,r0_reflectance_fraction,power_norm_std,prepump_rows,delay_min_ps,delay_max_ps
1210.0,247.76236198347107,55.0,51.64777709282861,0.12058502217224225,0.0014078102119894013,11.0,-0.6,-0.4
1210.0,247.76236198347107,56.0,52.30816722772388,0.13021779211102996,0.0010371874896689217,11.0,-0.6,-0.4
1210.0,247.76236198347107,57.0,52.96729328806785,0.14160445801982136,0.0019176902419529612,11.0,-0.6,-0.4
1210.0,247.76236198347107,58.0,53.62503558250019,0.15075403153879707,0.0011588415292502318,11.0,-0.6,-0.4
1210.0,247.76236198347107,59.0,54.28127316747721,0.1571696662291907,0.001855922898234209,11.0,-0.6,-0.4
1210.0,247.76236198347107,60.0,54.93588374048224,0.1599655297506348,0.0012809414672456335,11.0,-0.6,-0.4
1220.0,245.73152295081962,35.0,38.35222290717139,0.03936162945656955,0.0009475179497180398,11.0,-0.6,-0.4
1220.0,245.73152295081962,36.0,39.01375857111241,0.03845678529123586,0.0007715801721264128,11.0,-0.6,-0.4
1220.0,245.73152295081962,37.0,39.67632225857683,0.0380418438436486,0.0015819250058088895,11.0,-0.6,-0.4
1220.0,245.73152295081962,38.0,40.33979739859669,0.03641177398781055,0.001037338644571375,11.0,-0.6,-0.4
1220.0,245.73152295081962,39.0,41.00406824975061,0.03445536315095846,0.0009243982563381147,11.0,-0.6,-0.4
1220.0,245.73152295081962,40.0,41.66901979554734,0.03317535679343677,0.0011747134426927262,11.0,-0.6,-0.4
1220.0,245.73152295081962,41.0,42.33453764016517,0.030585600804327876,0.0008767377728111799,11.0,-0.6,-0.4
1220.0,245.73152295081962,42.0,43.000507904505824,0.028832837787677326,0.0009643955939963876,11.0,-0.6,-0.4
1220.0,245.73152295081962,43.0,43.66681712251742,0.02792900221893927,0.0011182349785625481,11.0,-0.6,-0.4
1220.0,245.73152295081962,44.0,44.33335213773696,0.01768428803632094,0.0012122361298761081,11.0,-0.6,-0.4
1220.0,245.73152295081962,45.0,45.0,0.010580780652188789,0.001340506200514121,11.0,-0.6,-0.4
1220.0,245.73152295081962,46.0,45.66664786226304,0.012503685784100181,0.001032596111835257,11.0,-0.6,-0.4
1220.0,245.73152295081962,47.0,46.33318287748258,0.019433140828112726,0.0008041203571028929,11.0,-0.6,-0.4
1220.0,245.73152295081962,48.0,46.999492095494176,0.027552839934366215,0.0010994027009051655,11.0,-0.6,-0.4
1220.0,245.73152295081962,49.0,47.66546235983483,0.03620988457139054,0.0011966757160299494,11.0,-0.6,-0.4
1220.0,245.73152295081962,50.0,48.33098020445266,0.04599486862972473,0.0012107518106319237,11.0,-0.6,-0.4
1220.0,245.73152295081962,51.0,48.99593175024939,0.05741626278212098,0.0007386031718991642,11.0,-0.6,-0.4
